,price
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,0.0002636454728709938
31,0.00026621752210105257
32,0.0002465883384512833
33,0.00024562091773438463
34,0.00023570693676396829
35,0.0002242101005352843
36,0.00022366909752228491
37,0.00021127219864735226
38,0.00021556647526375786
39,0.00021719893084681393
40,0.00022443061081220598
41,0.00022158563316447202
42,0.00020858673836027266
43,0.00021233485233959097
44,0.0002218857867170112
45,0.00022186810950455105
46,0.0002214202275457245
47,0.00021707596048158706
48,0.00022472794712190527
49,0.0002225492943205278
50,0.00022195935287005642
51,0.00022184072639288302
52,0.00021577950711945175
53,0.00021255625544561478
54,0.00021153515800823882
55,0.00021119686086393274
56,0.0002426233026297329
57,0.00023913232417783768
58,0.00023665737216038162
59,0.0002258976634755966
60,0.00023872753675155867
61,0.0002380199009592415
62,0.00023859000249077113
63,0.0002384945683017312
64,0.00023997815820720454
65,0.00023573316402502868
66,0.0002356434597838589
67,0.00023747740338388984
68,0.00023379399696848855
69,0.00022093532962916832
70,0.00020942265185329236
71,0.00022525286112840933
72,0.00022451880625119525
73,0.00022307945960962556
74,0.00021134369012065532
75,0.0002113441722792063
76,0.00021020389333494
77,0.00021140802513067424
78,0.00021237944196810676
79,0.00022131733308872935
80,0.00021510049478229776
81,0.00021595542051220374
82,0.00021791595882926745
83,0.00021828129964648148
84,0.0002397076210277068
85,0.0002442671776576135
86,0.00022226607394373995
87,0.0002227574801897904
88,0.0002191331449626104
89,0.0002179100359776294
90,0.00020297755569395119
91,0.00020691164755640018
92,0.00021514769390935685
93,0.0002153150058809611
94,0.00021401231516499132
95,0.00021633770122853592
96,0.00021741614345104253
97,0.00021779601285336613
98,0.00021817118464309833
99,0.0002183562522226653
100,0.00022750604244354918
101,0.00021009026067595932
102,0.00020928545271064352
103,0.00020928339608700374
104,0.00020974957698479513
105,0.0002129634527987442
106,0.0002121317270057363
107,0.00021449884616686122
108,0.00021097418393553285
109,0.00022875211558450023
110,0.00022984257612652015
111,0.0002351396178108359
112,0.00023561625892215294
113,0.00023358446875184748
114,0.00021928516151968174
115,0.00021911877319157668
116,0.0002215633049270162
117,0.0002250923479239598
118,0.000229207253417646
119,0.00023109730405071406
120,0.00023928130168048372
121,0.00022711112946406325
122,0.00021923097538167392
123,0.00022300181536080685
124,0.00022326404834660283
125,0.00022603702969980604
126,0.0002260340158922265
127,0.00022446669699339392
128,0.00023179865267833382
129,0.000248369109348479
130,0.0002389056541598273
131,0.00024136436174387578
132,0.0002408319876604349
133,0.00031757838997055715
134,0.0003533914404513115
135,0.00035219471257666815
136,0.0004150883659547221
137,0.0004244161305204737
138,0.000425660751281634
139,0.0004135077711086568
140,0.0004136871415951666
141,0.00048379589566004794
